1,23.875,36,Door(L),3,Cabinet Door,A-3333
1,23.875,19.125,Door(L),3,Cabinet Door,A-3333
1,23.4375,34.75,DOS,5,Unfinished Back,None
1,18,24,DESSUS/DESSOUS,5,Bottom of cabinet box,None
1,17.375,24,TAB FIXE,5,Fixed Shelf,None
1,14.875,35.875,Door(L),4,Cabinet Door,A-3333
1,14.875,35.875,Door(R),4,Cabinet Door,A-3333
1,12,36,PIGNON (L),5,Finished End,A-1202
1,12,36,PIGNON (L),4,,A-1202
1,12,36,PIGNON (R),5,Finished End,A-1202
1,12,29.5,DESSUS/DESSOUS,4,,A-1000
1,11.875,19.5625,Door(L),5,Cabinet Door,A-3333
1,11.875,19.5625,Door(R),5,Cabinet Door,A-3333
1,11.375,23.4375,TAB FIXE,5,Fixed Shelf,A-1000
1,3,36,Stile,N4,,None
